target	id_target	context	id_context	f_tc	f_t	f_c	cond_prob	pmi	npmi	lmi	tscore	zscore	dice	chisquare	loglike	affinity	entropy_target	entropy_context
castor	15	commencer	1144	2.00	83.00	33.00	0.024096	2.208238	0.252737	4.416477	1.258800	3.797253	0.034483	14.554351	8.832953	0.042351	3.775019	1.669794
castor	15	comprendre	840	1.00	83.00	16.00	0.012048	2.239010	0.237424	2.239010	0.893436	2.736896	0.020202	7.550518	4.478020	0.037274	3.775019	1.391740
castor	15	terminer	292	1.00	83.00	2.00	0.012048	4.318452	0.457927	4.318452	0.986680	8.549012	0.023529	73.587452	8.636903	0.256024	3.775019	0.693147
castor	15	pouvoir	1	3.00	83.00	199.00	0.036145	0.816906	0.098046	2.450718	0.966837	1.454595	0.021277	2.164600	4.901437	0.025610	3.775019	1.742135
castor	15	ruisseau	658	2.00	83.00	4.00	0.024096	4.318452	0.494255	8.636903	1.395376	12.090129	0.045977	147.198530	17.273806	0.262048	3.775019	1.039721
castor	15	loup	966	1.00	83.00	3.00	0.012048	3.912986	0.414932	3.912986	0.980019	6.933121	0.023256	48.402118	7.825973	0.172691	3.775019	1.098612
castor	15	fou	1566	1.00	83.00	4.00	0.012048	3.625304	0.384426	3.625304	0.973359	5.963454	0.022989	35.812726	7.250609	0.131024	3.775019	1.039721
castor	15	regarder	94	1.00	83.00	28.00	0.012048	1.679394	0.178082	1.679394	0.813513	1.883824	0.018018	3.580633	3.358788	0.023881	3.775019	1.855585
castor	15	est	1152	1.00	83.00	7.00	0.012048	3.065689	0.325084	3.065689	0.953378	4.415410	0.022222	19.637596	6.131377	0.077453	3.775019	1.277034
castor	15	chose	726	2.00	83.00	60.00	0.024096	1.610401	0.184314	3.220803	1.131643	2.531650	0.027972	6.483442	6.441605	0.028715	3.775019	1.690376
castor	15	avoir	310	10.00	83.00	749.00	0.120482	0.695445	0.097567	6.954448	1.584768	2.243776	0.024038	5.392383	13.908896	0.066917	3.775019	1.964164
castor	15	endroit	730	1.00	83.00	21.00	0.012048	1.967076	0.208588	1.967076	0.860135	2.299915	0.019231	5.334062	3.934152	0.029834	3.775019	1.719655
castor	15	besoin	733	4.00	83.00	19.00	0.048193	3.453454	0.429313	13.813816	1.936728	10.888714	0.078431	119.541302	27.627633	0.129360	3.775019	1.438332
castor	15	petit	552	1.00	83.00	44.00	0.012048	1.227409	0.130154	1.227409	0.706949	1.305920	0.015748	1.722946	2.454818	0.017388	3.775019	1.876200
castor	15	tremble	2142	3.00	83.00	3.00	0.036145	5.011599	0.601501	15.034796	1.720515	21.082071	0.069767	447.541472	30.069592	0.518072	3.775019	0.000000
castor	15	cohésion	494	1.00	83.00	1.00	0.012048	5.011599	0.531428	5.011599	0.993340	12.171739	0.023810	149.156547	10.023197	0.506024	3.775019	0.000000
castor	15	direction	1345	1.00	83.00	8.00	0.012048	2.932157	0.310925	2.932157	0.946718	4.101384	0.021978	16.945018	5.864314	0.068524	3.775019	1.255482
castor	15	prédire	191	1.00	83.00	7.00	0.012048	3.065689	0.325084	3.065689	0.953378	4.415410	0.022222	19.637596	6.131377	0.077453	3.775019	1.747868
castor	15	écosystème	1287	2.00	83.00	3.00	0.024096	4.606134	0.527181	9.212267	1.400085	14.007596	0.046512	197.575902	18.424534	0.345382	3.775019	0.636514
castor	15	rapporter	923	1.00	83.00	2.00	0.012048	4.318452	0.457927	4.318452	0.986680	8.549012	0.023529	73.587452	8.636903	0.256024	3.775019	0.693147
castor	15	lynx	979	1.00	83.00	2.00	0.012048	4.318452	0.457927	4.318452	0.986680	8.549012	0.023529	73.587452	8.636903	0.256024	3.775019	0.693147
castor	15	arbre	1229	1.00	83.00	11.00	0.012048	2.613703	0.277156	2.613703	0.926737	3.423853	0.021277	11.811796	5.227407	0.051479	3.775019	1.366711
castor	15	raconter	1782	1.00	83.00	3.00	0.012048	3.912986	0.414932	3.912986	0.980019	6.933121	0.023256	48.402118	7.825973	0.172691	3.775019	1.098612
castor	15	tanière	2702	1.00	83.00	1.00	0.012048	5.011599	0.531428	5.011599	0.993340	12.171739	0.023810	149.156547	10.023197	0.506024	3.775019	0.000000
castor	15	nouveau	374	1.00	83.00	32.00	0.012048	1.545863	0.163923	1.545863	0.786872	1.704449	0.017391	2.932154	3.091726	0.021649	3.775019	1.360443
castor	15	saule	2092	1.00	83.00	1.00	0.012048	5.011599	0.531428	5.011599	0.993340	12.171739	0.023810	149.156547	10.023197	0.506024	3.775019	0.000000
castor	15	histoire	563	1.00	83.00	11.00	0.012048	2.613703	0.277156	2.613703	0.926737	3.423853	0.021277	11.811796	5.227407	0.051479	3.775019	1.672625
castor	15	équlibre	322	1.00	83.00	1.00	0.012048	5.011599	0.531428	5.011599	0.993340	12.171739	0.023810	149.156547	10.023197	0.506024	3.775019	0.000000
