target	context	f_tc	f_t	f_c	pmi
castor	commencer	2.00	83.00	33.00	2.208238
castor	comprendre	1.00	83.00	16.00	2.239010
castor	terminer	1.00	83.00	2.00	4.318452
castor	pouvoir	3.00	83.00	199.00	0.816906
castor	ruisseau	2.00	83.00	4.00	4.318452
castor	loup	1.00	83.00	3.00	3.912986
castor	fou	1.00	83.00	4.00	3.625304
castor	regarder	1.00	83.00	28.00	1.679394
castor	est	1.00	83.00	7.00	3.065689
castor	chose	2.00	83.00	60.00	1.610401
castor	avoir	10.00	83.00	749.00	0.695445
castor	endroit	1.00	83.00	21.00	1.967076
castor	besoin	4.00	83.00	19.00	3.453454
castor	petit	1.00	83.00	44.00	1.227409
castor	tremble	3.00	83.00	3.00	5.011599
castor	cohésion	1.00	83.00	1.00	5.011599
castor	direction	1.00	83.00	8.00	2.932157
castor	prédire	1.00	83.00	7.00	3.065689
castor	écosystème	2.00	83.00	3.00	4.606134
castor	rapporter	1.00	83.00	2.00	4.318452
castor	lynx	1.00	83.00	2.00	4.318452
castor	arbre	1.00	83.00	11.00	2.613703
castor	raconter	1.00	83.00	3.00	3.912986
castor	tanière	1.00	83.00	1.00	5.011599
castor	nouveau	1.00	83.00	32.00	1.545863
castor	saule	1.00	83.00	1.00	5.011599
castor	histoire	1.00	83.00	11.00	2.613703
castor	équlibre	1.00	83.00	1.00	5.011599
castor	rival	1.00	83.00	2.00	4.318452
castor	construire	1.00	83.00	24.00	1.833545
castor	autre	3.00	83.00	66.00	1.920556
castor	humide	1.00	83.00	2.00	4.318452
castor	vouloir	1.00	83.00	56.00	0.986247
castor	ingénieur	1.00	83.00	1.00	5.011599
castor	serpenter	1.00	83.00	1.00	5.011599
castor	barrage	1.00	83.00	2.00	4.318452
castor	véritable	1.00	83.00	4.00	3.625304
castor	groupe	1.00	83.00	9.00	2.814374
castor	aulne	1.00	83.00	1.00	5.011599
castor	guides	2.00	83.00	2.00	5.011599
castor	nourrir	1.00	83.00	6.00	3.219839
castor	emménager	1.00	83.00	2.00	4.318452
castor	convier	1.00	83.00	2.00	4.318452
castor	rivière	1.00	83.00	3.00	3.912986
castor	concentrer	1.00	83.00	3.00	3.912986
castor	classique	1.00	83.00	5.00	3.402161
castor	maintenir	1.00	83.00	2.00	4.318452
castor	zone	1.00	83.00	13.00	2.446649
castor	gars	1.00	83.00	6.00	3.219839
castor	réaliser	1.00	83.00	3.00	3.912986
castor	augmenter	1.00	83.00	5.00	3.402161
castor	créer	1.00	83.00	21.00	1.967076
castor	être	5.00	83.00	822.00	-0.090704
castor	trouver	1.00	83.00	41.00	1.298027
castor	extrémité	1.00	83.00	1.00	5.011599
castor	régional	1.00	83.00	1.00	5.011599
avion	personne	8.00	1930.00	36.00	0.361087
avion	traditionnel	1.00	1930.00	3.00	0.766552
avion	avion	22.00	1930.00	28.00	1.624002
avion	voiture	8.00	1930.00	97.00	-0.630105
avion	pouvoir	31.00	1930.00	199.00	0.005846
avion	gaspiller	1.00	1930.00	1.00	1.865164
avion	écrire	2.00	1930.00	12.00	0.073405
avion	train	6.00	1930.00	22.00	0.565881
avion	devenir	3.00	1930.00	24.00	-0.214278
avion	russe	1.00	1930.00	1.00	1.865164
avion	menaçant	1.00	1930.00	1.00	1.865164
avion	mode	1.00	1930.00	3.00	0.766552
avion	entrer	1.00	1930.00	4.00	0.478870
avion	fait	1.00	1930.00	12.00	-0.619743
avion	mettre	6.00	1930.00	36.00	0.073405
avion	contenter	1.00	1930.00	1.00	1.865164
avion	cheval	1.00	1930.00	22.00	-1.225878
avion	route	2.00	1930.00	20.00	-0.437421
avion	opérer	3.00	1930.00	4.00	1.577482
avion	celui-ci	1.00	1930.00	1.00	1.865164
avion	oxygène	1.00	1930.00	2.00	1.172017
avion	puissance	1.00	1930.00	3.00	0.766552
avion	clignoter	1.00	1930.00	1.00	1.865164
avion	empêcher	1.00	1930.00	4.00	0.478870
avion	alerte	1.00	1930.00	1.00	1.865164
avion	irruption	1.00	1930.00	1.00	1.865164
avion	voyage	3.00	1930.00	6.00	1.172017
avion	bateau	2.00	1930.00	4.00	1.172017
avion	dense	1.00	1930.00	3.00	0.766552
avion	amoureux	1.00	1930.00	3.00	0.766552
avion	clouer	1.00	1930.00	1.00	1.865164
avion	étudier	2.00	1930.00	7.00	0.612401
avion	reproduire	1.00	1930.00	2.00	1.172017
avion	montrer	5.00	1930.00	16.00	0.702013
avion	plier	1.00	1930.00	2.00	1.172017
avion	même	6.00	1930.00	27.00	0.361087
avion	terminal	1.00	1930.00	1.00	1.865164
avion	électricité	2.00	1930.00	10.00	0.255726
avion	calepin	1.00	1930.00	1.00	1.865164
avion	lieu	2.00	1930.00	10.00	0.255726
avion	cœur	1.00	1930.00	2.00	1.172017
avion	année	6.00	1930.00	26.00	0.398827
avion	inventer	3.00	1930.00	6.00	1.172017
avion	éternuer	1.00	1930.00	1.00	1.865164
avion	solaire	5.00	1930.00	8.00	1.395160
avion	scan	1.00	1930.00	1.00	1.865164
avion	aider	1.00	1930.00	3.00	0.766552
avion	travers	1.00	1930.00	11.00	-0.532731
avion	septembre	1.00	1930.00	1.00	1.865164
avion	aligner	1.00	1930.00	1.00	1.865164
avion	nerveux	1.00	1930.00	1.00	1.865164
avion	beau	2.00	1930.00	12.00	0.073405
avion	reculé	1.00	1930.00	1.00	1.865164
avion	IR	1.00	1930.00	1.00	1.865164
avion	nonchalant	1.00	1930.00	1.00	1.865164
avion	enfant	1.00	1930.00	17.00	-0.968049
avion	sûr	5.00	1930.00	18.00	0.584230
avion	mourir	3.00	1930.00	18.00	0.073405
avion	naturel	1.00	1930.00	4.00	0.478870
avion	dévier	1.00	1930.00	1.00	1.865164
avion	escorte	1.00	1930.00	1.00	1.865164
avion	bout	1.00	1930.00	8.00	-0.214278
avion	photo	5.00	1930.00	24.00	0.296548
avion	français	1.00	1930.00	2.00	1.172017
avion	sérieux	1.00	1930.00	1.00	1.865164
avion	modèle	3.00	1930.00	12.00	0.478870
avion	quota	1.00	1930.00	1.00	1.865164
avion	extraordinaire	1.00	1930.00	1.00	1.865164
avion	pièce	3.00	1930.00	8.00	0.884335
avion	vie	1.00	1930.00	21.00	-1.179358
avion	aviation	1.00	1930.00	1.00	1.865164
avion	temps	7.00	1930.00	29.00	0.443778
avion	gaz	1.00	1930.00	2.00	1.172017
